id,topic,quote,author,page,source_title,source_file
76,APOLOGETICS,"Heretics are to be converted by an example of humility and other virtues for more readily than by any external display or verbal battles. So let us arm ourselves with devout prayers and set off showing signs of genuine humility and go barefooted to combat Goliath. Dominic Nothing is so difficult as to enter into the characters and feelings of men who have been brought up under a system of religion different from our own; and to discern how they may be most forcibly and profitably addressed, in order to win them over to the reception of divine truths, of which they are at present ignorant.",John Henry Cardinal Newman,38,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
77,"ARIDITY, SPIRITUAL",My spirit has become dry because it forgets to feed on You.,John of the Cross,39,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
78,"ARIDITY, SPIRITUAL","As to the aridity you are suffering from, it seems to me our Lord is treating you like someone He considers strong: He wants to test you and see if you love Him as much at times of aridity as when He sends you consolations. I think this is a very great favor for God to show you.",Teresa of Avila,39,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
79,"ARIDITY, SPIRITUAL",Don’t let aridity distress you: Perfection has nothing to do with such things —only with virtues. Your devotion will come back when you are least expecting it.,Teresa of Avila,39,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
80,"ARIDITY, SPIRITUAL",One single act done with aridity of spirit is worth more than many done with feelings of devotion.,Francis de Sales,39,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
81,ART,A work of art represents the mind of the maker.,Thomas Aquinas,40,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
82,AUTHORITY,It is right to submit to a higher authority whenever a command of God would not be violated.,Basil the Great,41,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
83,AUTHORITY,"When we offend those set over us, we oppose the ordinance of Him who set them above us.",Pope Gregory the Great,41,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
84,AUTHORITY,"Men desire authority for its own sake that they may bear a rule, command and control other men, and live uncommanded and uncontrolled themselves.",Thomas More,41,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
85,BAD COMPANY,To know whom to avoid is a great means of saving our souls.,Thomas Aquinas,42,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
86,BAD COMPANY,Nothing can be more dangerous than keeping wicked companions. They communicate the infection of their vices to all who associate with them.,Jean Baptiste de la Salle If,42,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
87,BAD COMPANY,"I had to advise parents, I should tell them to take great care about the people with whom their children associate. … Much harm may result from bad company, and we are inclined by nature to follow what is worse rather than what is better.",Elizabeth Ann Seton,42,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
88,BAPTISM,"Glory be to Him who was baptized, and thus drowned our iniquity in the deep, and suffocated the one who had suffocated us!",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
89,BAPTISM,"Mighty is the water in the seas, yet it is too weak for atonement; the water of baptism alone is able to atone.",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
90,BAPTISM,"Today your offenses are blotted out and your names are written down. The priest blots out in the water, and Christ writes down in heaven.",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
91,BAPTISM,"You who are baptized: Conquer the darkness by the light of your candles, and the silence by your hosannas!",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
92,BAPTISM,The fountain of baptism is set to protect against the flame. This is the water that avails for the quenching of hell.,Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
93,BAPTISM,"The diver brings up the pearl out of the sea. Be baptized and bring up from the water the purity that is hidden there, the pearl that is set like a jewel in the crown of the Godhead.",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
94,BAPTISM,"The seaman stores up sweet water in his vessel; in the midst of the sea he lays up and keeps it, the sweet in the midst of the bitter. In the same way, amidst the floods of sin, keep the water of baptism.",Ephraem the Syrian,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
95,BAPTISM,"Baptism is ransom, forgiveness of debts, death of sin, regeneration of the soul, a resplendent garment, an unbreakable seal, a chariot to heaven, a royal protector, a gift of adoption.",Basil the Great,43,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
96,BAPTISM,"The Lord was baptized, not to be cleansed Himself, but to cleanse the waters, so that those waters, cleansed by the flesh of Christ which knew no sin, might have the power of baptism.",Ambrose of Milan,44,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
97,BAPTISM,"For the spirit of man is sanctified by the Spirit, when the body has been sanctified by water. For just as water, when it is poured into cauldrons and set over a blazing fire, draws power from the fire, so too by the means of the operation of the Spirit the tangible water is transformed into some divine and indescribable power, and it sanctifies those in whom it would work rebirth.",Cyril of Alexandria,44,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
98,BAPTISM,"Just as a man cannot live in the flesh unless he is born in the flesh, even so a man cannot have the spiritual life of grace unless he is born again spiritually. This regeneration is effected by baptism: “Unless a man is born again of water and the Holy Spirit, he cannot enter into the kingdom of God” [Jn 3:5].",Thomas Aquinas,44,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
99,BEAUTY,"Christ has made my soul beautiful with the jewels of grace and virtue. I belong to Him whom the angels serve. Agnes Beauty is indeed a good gift of God; but that the good may not think it a great good, God dispenses it even to the wicked.",Augustine of Hippo,45,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
100,BELIEF,"Understanding is the reward of faith. Therefore, don’t seek to understand so that you may believe, but believe so that you may understand.",Augustine of Hippo,46,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
101,BELIEF,"A person can do other things against his will, but belief is possible only in one who is willing.",Augustine of Hippo,46,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
102,BELIEF,We can’t have full knowledge all at once. We must start by believing; then afterwards we may be led on to master the evidence for ourselves.,Thomas Aquinas,46,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
103,BELIEF,"When someone said to him, “I don’t believe in God,” he smiled and replied: But God believes in you!",Padre Pio of Pietrelcina,46,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
104,"THE BISHOP, BISHOPS","Your presbytery … is as closely tied to the bishop as the strings to a harp. So your accord and harmonious love is a hymn to Jesus Christ. Yes, one and all, you should form yourselves into a choir, so that, in perfect harmony and taking your pitch from God, you may sing in unison and with one voice to the Father through Jesus Christ.",Ignatius of Antioch,47,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
105,"THE BISHOP, BISHOPS","Everyone the Master of the house sends on His business, we ought to receive as the One who sent him. It is clear, then, that we should regard the bishop as the Lord Himself.",Ignatius of Antioch,47,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
106,"THE BISHOP, BISHOPS","The episcopate is one, each part of which is held by each one for the whole.",Cyprian of Carthage,47,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
107,"THE BISHOP, BISHOPS","Be obedient to your bishop and welcome him as the parent of your soul. Jerome The episcopate is the title of a work, not of an honor. … He who loves to rule his flock and not be useful to his flock is no bishop.",Augustine of Hippo,47,A Dictionary of Quotes from the Saints,"A Dictionary of Quotes From th - Thigpen, Paul_6247.pdf"
